N,P,K,temperature,humidity,ph,rainfall,OM,label
22.2,59.2,110.5,25.29,66.21,5.94,108.13,2.27,Sweet Potato
64.4,74.7,82.7,30.31,76.63,5.0,154.45,1.86,Eggplant
47.1,52.9,75.9,26.35,79.81,5.43,67.56,1.69,Sweet Potato
30.0,34.5,82.9,30.44,87.25,5.36,210.54,3.19,Cacao
98.8,35.9,72.3,30.2,85.64,7.0,244.9,2.55,Durian
66.8,41.2,38.8,27.78,87.37,5.02,300.0,3.86,Rice
21.0,31.6,154.0,25.75,76.54,5.85,215.8,3.44,Coconut
82.7,56.4,106.1,26.83,75.55,6.74,107.42,2.03,Papaya
39.7,66.3,82.7,29.37,78.1,5.43,87.23,1.8,Sweet Potato
143.6,27.9,186.5,26.18,81.19,6.08,162.43,3.54,Banana
138.2,31.4,47.4,23.24,52.33,6.24,65.05,2.11,Corn
107.2,52.4,73.7,29.78,69.85,6.24,169.92,2.52,Papaya
72.3,26.6,104.7,28.72,83.54,7.39,290.78,4.16,Durian
59.5,38.2,88.8,28.86,84.8,6.3,149.23,4.2,Cacao
72.0,39.1,41.0,29.53,49.57,6.62,102.62,2.02,Mango
91.7,62.8,224.0,28.83,74.69,6.59,203.3,4.67,Banana
61.5,34.7,30.2,28.27,90.39,5.68,253.59,3.11,Rice
33.1,23.8,62.8,27.75,72.89,6.6,89.85,1.3,Cassava
83.6,36.2,75.3,25.09,79.81,5.33,196.8,3.27,Cacao
38.5,49.4,61.4,26.54,75.2,6.68,146.54,2.49,Coconut
53.3,36.4,160.2,24.85,88.71,5.68,280.0,2.75,Coconut
22.3,26.5,66.7,28.68,80.92,6.32,189.27,1.95,Coconut
107.2,47.0,58.6,27.77,70.87,6.11,103.41,2.62,Corn
64.2,41.9,36.4,22.67,76.57,6.37,90.84,2.19,Corn
33.3,15.1,128.0,26.05,84.85,5.64,143.37,1.58,Coconut
73.5,70.0,39.5,25.02,79.56,6.26,272.9,3.55,Rice
72.3,49.6,48.1,28.44,82.9,4.84,221.96,3.41,Rice
122.8,54.1,27.2,22.64,71.15,6.08,71.58,2.19,Corn
56.0,28.0,80.3,29.95,61.19,5.79,156.07,1.86,Cassava
131.8,59.0,116.8,27.06,77.29,5.53,215.43,2.94,Banana
75.9,75.0,52.1,26.47,59.97,5.38,124.98,2.3,Tomato
115.5,45.3,81.3,25.04,89.0,5.47,147.8,3.13,Banana
24.1,34.4,65.9,25.12,55.0,5.89,80.0,2.11,Cassava
62.8,40.7,97.1,26.87,86.07,5.21,196.13,2.6,Cacao
53.2,34.3,104.1,25.82,78.93,6.4,170.69,2.53,Coconut
56.2,41.8,146.6,26.79,74.13,7.28,226.59,2.12,Coconut
59.8,34.2,51.3,32.8,68.73,5.98,120.49,2.52,Mango
41.3,25.7,40.1,27.64,86.21,5.52,196.43,3.23,Rice
85.7,36.9,35.1,30.29,67.11,6.56,56.12,2.66,Corn
47.9,40.2,114.3,29.39,67.19,6.59,72.72,1.78,Sweet Potato
79.7,69.6,96.2,29.34,83.5,6.58,243.98,2.0,Durian
75.1,38.3,48.7,26.74,55.11,7.7,133.21,2.44,Mango
131.4,25.0,147.1,27.99,76.51,6.36,224.64,3.42,Banana
57.1,42.7,52.8,24.24,50.05,5.95,130.36,2.97,Mango
32.1,37.8,156.3,25.95,80.06,5.89,133.64,2.3,Coconut
74.6,45.9,60.2,27.35,57.65,6.42,132.19,2.71,Papaya
78.5,76.9,65.3,28.92,66.19,6.39,106.84,1.9,Eggplant
12.2,23.8,67.0,30.04,85.0,5.44,109.58,1.79,Cassava
108.7,44.1,124.4,31.66,74.88,5.33,154.7,2.96,Papaya
15.7,37.8,122.5,24.99,82.68,5.57,214.4,1.4,Coconut
86.1,53.6,55.1,25.24,50.96,6.7,67.31,2.96,Tomato
77.6,74.4,111.9,30.24,82.47,6.47,335.29,2.9,Durian
97.3,82.4,55.1,26.15,69.91,6.24,100.32,3.47,Tomato
116.4,32.8,46.1,27.67,85.36,5.8,230.25,2.73,Rice
91.3,60.3,97.2,29.72,77.72,6.16,121.51,2.3,Papaya
69.4,29.6,51.2,26.68,87.11,5.8,217.21,2.96,Rice
64.1,59.4,173.7,28.8,82.17,5.96,234.8,4.3,Banana
31.5,11.8,94.1,28.09,71.42,6.5,142.82,1.07,Cassava
37.4,43.1,86.2,27.03,78.87,5.93,165.51,3.4,Coconut
69.8,60.2,102.1,28.84,85.75,6.5,247.04,2.59,Durian
40.3,26.6,75.9,27.63,78.86,7.0,132.57,3.52,Cacao
51.8,28.1,49.4,25.41,75.18,5.01,267.0,2.89,Rice
69.2,43.3,101.5,31.22,85.46,6.96,231.54,3.4,Durian
82.9,46.4,46.1,30.23,80.45,5.15,220.58,3.02,Rice
128.0,53.3,146.3,30.09,85.04,6.3,276.43,3.23,Banana
44.6,42.6,101.7,23.32,78.82,5.96,64.32,1.03,Sweet Potato
126.1,63.6,47.2,27.29,63.23,6.33,62.88,2.92,Eggplant
63.5,25.0,41.3,21.77,51.01,6.5,73.84,2.06,Corn
90.0,51.1,60.1,28.99,65.14,6.7,113.05,2.5,Papaya
59.4,59.6,91.4,26.82,85.84,6.04,307.81,3.5,Durian
140.3,48.4,152.2,28.62,84.16,7.44,217.31,4.04,Banana
25.2,35.8,100.8,30.15,70.36,5.52,91.77,1.86,Cassava
106.1,52.9,125.9,28.84,92.7,6.52,224.1,2.92,Durian
94.0,47.9,167.4,27.07,81.39,5.6,244.01,3.12,Banana
47.7,26.7,96.8,30.65,79.43,5.29,217.41,3.07,Cacao
36.3,41.2,80.0,30.74,66.87,5.93,117.28,1.64,Cassava
77.9,50.1,104.1,26.3,54.17,6.21,83.68,2.34,Tomato
52.5,33.7,46.2,24.0,81.46,6.12,209.67,3.44,Rice
110.8,68.3,68.7,26.11,80.0,6.6,91.9,2.5,Tomato
105.2,70.5,79.7,29.02,73.99,5.71,136.92,2.04,Eggplant
100.7,56.1,77.0,24.41,55.0,5.38,101.89,2.45,Eggplant
46.4,25.5,55.0,25.36,86.59,6.16,173.02,3.85,Cacao
100.0,48.2,191.4,26.75,86.17,6.59,204.62,3.11,Banana
100.1,70.7,94.6,25.82,60.18,6.05,140.0,2.1,Tomato
104.0,53.8,84.0,29.77,64.37,7.15,99.66,3.26,Papaya
147.4,54.5,97.1,28.33,61.09,6.04,104.0,3.23,Papaya
79.8,25.0,25.1,27.23,88.09,6.7,269.79,2.4,Rice
115.8,32.5,159.6,27.57,84.97,5.57,175.71,3.77,Banana
88.1,59.5,71.2,27.25,75.91,6.12,159.26,2.79,Papaya
12.2,23.3,73.1,33.13,70.71,6.3,84.0,1.74,Cassava
73.4,53.3,64.2,27.24,88.69,5.34,186.71,3.31,Cacao
87.1,48.2,54.6,23.85,60.67,7.08,88.08,3.29,Eggplant
25.1,39.7,68.4,26.46,77.89,6.56,183.01,2.71,Coconut
121.6,47.1,35.1,23.16,59.76,5.91,103.02,1.81,Corn
45.6,21.0,46.1,27.87,71.36,5.59,151.01,2.16,Cassava
108.3,61.1,43.3,26.31,76.65,6.14,86.04,2.38,Eggplant
19.4,42.7,77.5,27.8,75.97,5.69,126.58,3.06,Coconut
33.4,15.5,145.3,24.5,78.73,6.62,105.12,2.9,Coconut
106.8,74.5,81.5,28.05,67.15,5.87,151.75,2.02,Papaya
51.8,33.6,51.0,22.69,73.28,5.18,188.8,2.86,Rice
43.7,52.3,95.6,28.28,80.31,6.43,106.69,2.06,Coconut
92.1,52.7,79.3,23.65,61.09,6.6,78.16,3.42,Tomato
44.0,64.7,119.5,24.42,72.74,5.88,161.08,1.58,Sweet Potato
87.2,69.4,65.8,25.05,50.52,6.02,101.33,2.29,Tomato
79.4,39.8,54.2,26.81,72.35,5.98,207.0,2.98,Rice
98.0,73.6,79.9,21.4,70.32,5.98,113.13,2.36,Tomato
150.0,50.0,88.9,31.62,60.69,7.05,178.88,2.97,Papaya
45.2,30.9,111.6,26.85,67.73,6.13,122.77,1.02,Sweet Potato
80.3,26.6,52.4,28.1,80.65,6.5,132.09,2.72,Cacao
119.6,37.4,218.0,28.35,80.18,5.87,234.33,3.38,Banana
83.9,33.2,39.6,29.24,86.92,5.53,253.81,3.5,Rice
67.0,37.4,35.8,26.35,83.9,4.57,181.07,3.34,Rice
144.6,59.7,151.9,26.79,77.09,5.5,252.71,4.34,Banana
84.0,26.7,58.0,27.69,79.63,5.64,233.91,2.69,Rice
32.2,35.6,86.3,28.01,75.25,6.18,100.53,1.54,Sweet Potato
87.4,41.8,104.9,28.5,80.52,6.15,190.81,3.72,Papaya
50.6,30.9,103.7,27.22,78.05,5.38,209.82,4.05,Cacao
79.4,43.1,47.4,24.44,69.68,6.41,87.03,1.89,Corn
31.9,27.8,122.4,26.73,81.34,6.16,183.32,1.93,Coconut
59.0,34.1,65.7,27.72,61.53,6.63,115.63,1.83,Mango
106.3,50.1,36.3,26.53,84.38,4.93,249.23,3.55,Rice
60.0,32.8,125.3,27.4,74.05,5.97,99.51,2.54,Sweet Potato
53.4,22.0,68.7,28.84,60.75,7.15,161.0,2.42,Mango
49.7,46.2,49.5,24.57,81.05,6.09,247.87,3.33,Rice
57.9,39.4,119.1,27.08,79.79,6.62,210.24,2.82,Coconut
62.6,40.5,76.2,31.83,88.7,6.48,197.96,4.36,Durian
43.0,36.0,43.0,25.96,45.0,6.44,137.06,2.37,Mango
65.5,47.4,71.2,26.92,66.88,5.17,152.96,2.92,Cacao
32.8,36.1,63.4,28.75,74.9,5.54,169.23,3.26,Cacao
91.2,48.2,46.3,25.68,79.14,5.59,215.87,2.46,Rice
50.9,30.1,27.9,26.71,82.17,6.82,215.08,3.48,Rice
64.3,36.5,40.4,28.35,77.86,5.78,282.25,3.49,Rice
41.2,35.6,64.5,27.73,54.55,6.88,64.92,2.01,Mango
74.2,53.1,47.3,27.4,74.26,5.95,214.81,3.41,Rice
68.3,54.8,40.0,25.74,76.21,6.41,168.03,3.47,Cacao
20.6,47.1,131.9,24.9,71.54,5.85,129.94,1.89,Sweet Potato
48.7,59.9,47.1,24.9,91.88,6.24,167.65,2.14,Cacao
84.7,93.7,72.6,26.32,67.48,6.07,106.52,2.86,Tomato
32.3,11.5,88.7,27.84,67.22,4.95,119.75,1.94,Cassava
81.6,50.5,32.7,27.37,72.47,6.08,85.78,2.07,Corn
127.8,56.1,24.1,24.76,56.01,7.09,88.6,1.53,Corn
92.6,41.9,169.7,28.9,71.5,5.59,252.41,2.94,Banana
93.1,58.5,111.1,28.35,86.64,6.92,298.24,2.03,Durian
66.0,26.5,68.4,33.83,87.49,5.93,131.42,3.12,Cacao
31.1,38.6,154.1,22.84,72.93,6.29,133.53,2.21,Coconut
82.7,74.1,56.1,21.89,68.86,5.29,114.5,3.19,Tomato
124.2,64.6,49.0,29.88,64.07,6.43,66.0,2.26,Eggplant
55.8,49.1,89.5,28.1,91.68,7.09,234.46,2.87,Durian
118.9,35.3,40.6,25.2,54.5,6.42,102.77,1.81,Corn
57.1,53.0,53.9,21.67,64.71,5.86,66.25,1.68,Corn
103.7,48.7,77.1,31.46,71.22,5.86,143.27,2.19,Papaya
57.5,29.6,159.8,28.55,82.0,6.21,136.34,2.74,Coconut
43.5,16.5,66.7,26.44,71.13,5.26,124.13,1.45,Cassava
126.6,25.0,19.7,28.45,65.35,5.41,76.4,1.28,Corn
95.7,57.7,101.3,27.54,89.82,6.74,286.31,2.68,Durian
40.0,48.5,72.6,29.08,71.11,6.94,261.9,3.27,Durian
88.7,60.7,106.9,26.39,88.11,6.8,176.0,2.89,Durian
43.4,43.7,133.5,25.18,75.98,6.56,175.37,1.94,Coconut
133.6,40.6,149.3,27.51,79.25,5.9,198.79,2.42,Banana
66.3,72.8,83.4,28.36,82.17,6.29,246.4,3.9,Durian
25.8,70.0,62.3,24.65,78.15,6.03,115.0,1.3,Sweet Potato
141.0,56.9,118.0,28.58,78.8,6.55,206.23,4.67,Banana
54.8,52.7,64.9,28.95,87.28,7.09,235.94,3.84,Durian
57.3,34.4,73.7,27.74,67.85,5.93,130.75,2.45,Cacao
60.0,49.4,166.7,30.61,82.18,5.45,192.48,5.21,Banana
82.5,52.2,66.2,23.0,72.93,5.8,70.93,2.94,Tomato
64.6,56.4,34.1,27.34,85.04,5.46,266.21,3.19,Rice
105.6,56.1,112.6,30.17,82.81,5.73,143.76,3.4,Papaya
81.3,30.6,47.8,26.27,63.35,6.44,70.91,1.4,Corn
93.7,61.9,54.5,24.78,89.15,5.7,240.2,3.25,Rice
15.0,23.3,158.7,25.26,74.55,6.68,179.49,1.27,Coconut
97.6,41.0,100.8,29.36,82.56,6.51,135.83,2.16,Papaya
44.0,29.2,144.8,26.62,69.33,6.26,258.84,2.69,Coconut
44.5,41.1,33.3,25.59,45.0,6.19,109.56,2.1,Mango
31.0,33.5,123.9,25.04,76.6,6.16,189.21,3.4,Coconut
25.3,57.3,121.6,26.74,83.13,6.29,92.72,1.95,Sweet Potato
42.6,29.3,61.8,26.34,68.28,5.95,152.42,1.47,Cassava
44.8,50.4,70.4,28.08,52.19,5.25,114.99,2.18,Mango
63.3,33.2,74.0,24.47,86.39,5.74,204.95,2.99,Cacao
130.8,56.0,129.8,29.17,85.72,6.41,211.06,3.1,Banana
77.6,49.5,30.0,29.51,66.08,6.81,71.51,1.99,Corn
112.0,53.8,83.3,27.84,85.29,6.35,306.19,2.76,Durian
47.4,25.3,111.9,28.17,68.92,5.9,110.71,3.39,Coconut
71.7,65.8,113.9,27.78,78.67,6.37,279.66,3.77,Durian
88.6,46.4,55.3,25.53,87.99,5.96,164.23,3.56,Rice
53.1,29.4,63.2,26.43,49.7,5.19,81.04,1.91,Mango
64.6,33.5,72.1,30.43,82.13,5.45,141.13,2.03,Cacao
69.6,46.3,53.0,29.19,64.56,6.38,99.11,2.02,Corn
93.0,43.6,60.7,27.26,84.56,5.61,130.6,2.62,Eggplant
108.5,46.8,58.7,26.29,55.0,6.62,101.38,3.13,Eggplant
70.3,43.0,29.3,28.36,83.22,5.23,257.41,3.21,Rice
62.9,39.6,71.7,25.81,85.83,4.69,140.99,3.64,Cacao
131.2,41.8,96.3,28.86,82.56,5.9,163.25,2.43,Papaya
96.1,45.4,30.2,24.9,70.58,6.2,92.75,1.86,Corn
109.3,40.9,190.0,26.92,78.01,6.12,232.28,5.62,Banana
64.9,32.3,92.7,25.51,79.91,5.53,146.12,4.53,Cacao
53.0,28.6,122.1,26.08,76.43,5.83,267.78,2.12,Coconut
116.7,98.9,83.4,24.86,76.3,5.73,86.29,2.88,Tomato
29.5,25.0,110.9,29.74,70.64,6.35,60.0,1.79,Sweet Potato
131.7,65.0,69.1,29.09,65.6,6.65,118.12,2.4,Eggplant
74.5,15.3,75.9,26.46,63.42,6.62,101.38,2.29,Mango
71.5,36.5,36.9,26.44,80.17,5.46,258.41,2.96,Rice
97.5,39.9,116.3,26.65,74.45,6.17,248.69,2.65,Durian
70.7,39.9,50.0,29.61,74.3,6.4,252.46,3.4,Durian
75.8,40.6,63.6,25.37,67.65,6.52,103.83,3.18,Tomato
82.2,36.8,128.7,27.39,82.2,6.4,273.54,3.2,Durian
50.4,79.2,119.2,30.29,76.39,6.2,294.88,2.0,Durian
33.3,38.1,82.5,25.66,81.91,6.44,143.54,3.56,Coconut
126.2,52.7,142.7,26.53,83.71,5.89,193.21,3.28,Banana
40.3,29.9,74.0,25.65,63.9,6.39,105.49,2.71,Mango
71.4,58.3,93.7,28.25,78.62,6.71,245.92,3.96,Durian
22.4,25.4,155.8,30.1,82.93,5.78,160.12,3.35,Coconut
113.1,33.1,44.0,25.77,80.65,5.74,243.34,3.08,Rice
38.2,39.0,56.8,24.6,53.99,6.57,141.02,2.01,Mango
65.3,21.3,92.7,30.18,92.58,6.59,120.0,3.61,Cacao
32.8,25.2,131.7,25.73,74.45,6.71,174.41,2.96,Coconut
117.2,42.6,36.1,28.75,63.07,5.7,105.78,1.07,Corn
78.2,32.7,34.4,25.07,80.98,5.42,227.21,1.96,Rice
69.1,34.9,50.1,25.62,76.77,5.67,273.77,2.82,Rice
92.2,42.6,50.8,26.68,89.56,7.03,292.24,3.99,Durian
107.3,27.1,40.3,29.16,89.92,5.35,275.68,3.27,Rice
60.3,53.2,40.5,31.11,64.92,5.54,77.41,2.7,Eggplant
90.8,34.3,55.1,27.72,63.02,6.96,106.34,2.62,Eggplant
50.0,61.5,27.7,26.47,77.2,6.8,236.66,2.71,Rice
60.2,25.0,29.8,29.44,70.86,5.72,75.51,1.83,Corn
57.5,46.6,66.0,28.16,83.96,5.54,153.91,2.86,Cacao
22.2,24.5,71.8,32.48,85.0,5.71,133.68,1.15,Cassava
79.8,25.0,70.4,27.7,84.18,6.27,253.53,2.26,Durian
52.7,40.1,105.0,28.25,68.62,6.44,61.82,2.49,Sweet Potato
113.5,47.2,41.2,26.6,83.6,5.67,300.0,3.07,Rice
20.0,41.0,150.3,28.28,67.72,5.27,170.0,1.65,Sweet Potato
38.8,44.0,62.8,25.19,66.73,5.53,204.53,3.29,Cacao
112.8,51.0,24.9,26.16,66.21,6.25,67.01,1.97,Corn
38.6,20.6,113.1,27.89,75.29,5.93,111.99,1.65,Cassava
108.7,63.5,117.3,31.66,62.38,6.32,210.73,3.22,Papaya
67.1,26.9,63.8,22.35,87.12,5.63,159.98,4.26,Cacao
79.8,50.7,83.3,27.17,74.96,6.24,225.26,2.98,Durian
60.8,41.3,70.2,27.43,51.34,6.95,97.64,2.8,Mango
91.7,31.4,48.0,28.12,86.97,5.18,181.27,3.4,Rice
73.0,25.0,124.3,26.21,86.37,5.78,184.79,3.6,Banana
96.8,55.5,38.3,22.65,77.33,7.1,95.29,1.41,Corn
62.1,33.1,37.5,27.02,65.36,6.34,61.85,2.11,Corn
63.9,34.3,113.7,28.46,85.29,5.67,240.24,3.54,Durian
74.2,49.0,40.3,27.07,59.0,5.35,132.11,2.3,Eggplant
37.3,21.4,103.5,31.76,60.92,5.14,116.13,1.0,Cassava
118.5,31.2,67.1,26.32,66.88,6.72,90.54,2.35,Eggplant
99.2,34.9,66.7,28.63,59.08,6.45,92.92,2.83,Eggplant
45.9,24.6,96.6,27.72,67.13,5.13,80.0,1.1,Cassava
111.2,20.7,28.9,26.66,80.07,6.22,247.73,3.95,Rice
79.0,51.7,109.7,30.18,72.99,6.42,215.66,2.76,Durian
84.9,56.7,54.5,25.4,50.5,6.25,119.62,1.22,Corn
23.7,25.0,107.6,24.01,70.86,6.06,91.38,1.85,Sweet Potato
77.6,28.8,69.5,23.75,64.78,7.02,77.09,1.91,Mango
56.0,59.3,108.3,26.22,75.92,6.4,308.21,3.53,Durian
35.1,24.1,73.2,31.49,64.12,5.15,107.77,1.83,Cassava
150.5,55.2,150.2,27.76,80.05,6.79,243.02,3.07,Banana
53.7,43.2,101.2,27.79,64.8,5.68,132.13,1.47,Sweet Potato
36.3,41.8,109.4,26.04,83.6,6.45,191.92,2.64,Coconut
67.7,35.3,104.8,30.21,74.34,6.95,211.69,3.28,Durian
48.0,47.3,86.3,28.5,75.78,5.22,175.19,2.35,Cacao
70.5,30.8,56.4,25.43,84.08,5.72,257.15,2.9,Rice
36.8,48.5,57.0,27.78,72.97,5.93,178.07,2.11,Cacao
100.6,44.4,44.9,22.06,83.49,6.6,183.42,3.48,Rice
98.6,45.8,95.0,25.55,89.18,6.71,327.83,2.04,Durian
103.6,40.5,104.2,30.46,86.92,5.83,159.42,5.42,Banana
68.5,46.4,74.4,30.14,83.48,5.58,201.82,4.04,Cacao
103.2,78.3,79.7,29.29,66.37,6.32,113.89,4.25,Papaya
47.1,50.5,107.0,29.56,79.4,6.0,289.21,3.0,Durian
30.8,24.1,81.6,27.37,71.02,4.53,106.18,1.35,Cassava
31.7,52.4,106.5,30.44,72.5,6.37,70.55,1.94,Sweet Potato
131.6,49.6,154.0,29.09,83.47,6.49,200.21,2.0,Banana
100.0,61.1,94.0,30.23,76.83,6.23,121.34,3.56,Papaya
125.6,67.6,36.3,25.43,72.62,6.67,110.74,1.52,Corn
31.8,18.7,60.9,25.49,62.44,5.94,110.65,2.35,Cassava
132.3,45.7,190.2,27.82,86.27,7.21,167.3,5.06,Banana
63.1,39.4,85.7,23.12,66.19,6.37,103.76,2.44,Eggplant
87.9,47.0,82.8,26.89,85.77,7.21,191.16,4.27,Banana
91.8,69.9,38.2,29.24,72.63,5.77,93.89,1.64,Corn
19.2,15.0,138.6,24.48,65.0,6.31,157.84,2.67,Coconut
51.5,25.3,76.8,30.11,71.44,5.28,128.93,1.6,Cassava
91.0,28.4,28.8,25.42,57.18,7.49,83.27,2.41,Corn
131.2,45.4,156.9,24.97,90.03,5.83,226.18,3.3,Banana
33.1,32.4,59.2,27.83,67.91,6.4,170.0,1.89,Mango
99.4,53.9,124.0,28.61,79.89,6.62,221.36,3.31,Durian
90.2,74.2,54.8,25.57,79.8,5.82,139.97,3.76,Tomato
72.1,39.3,30.0,29.62,72.67,5.76,82.01,2.11,Eggplant
63.3,36.9,48.6,29.39,80.08,6.08,228.24,3.25,Rice
152.5,29.5,110.9,31.68,78.1,5.68,196.76,4.11,Banana
87.4,56.2,94.2,28.35,93.0,6.64,260.15,3.19,Durian
78.4,45.6,103.8,25.85,82.21,6.48,314.91,2.0,Durian
99.9,32.4,40.1,26.48,68.95,6.32,51.77,2.65,Corn
31.9,44.1,122.6,29.03,77.56,6.46,151.2,3.03,Coconut
66.2,44.8,100.1,29.34,79.23,6.38,169.53,3.94,Cacao
59.6,44.0,82.3,27.45,84.4,6.32,170.19,3.43,Cacao
62.8,33.8,83.0,26.19,55.28,5.76,134.98,2.89,Mango
114.2,30.1,52.7,27.79,73.02,5.27,136.5,1.98,Eggplant
45.9,47.5,40.0,27.18,87.76,5.84,169.61,2.49,Cacao
56.6,56.4,71.9,25.97,87.89,6.26,192.41,3.29,Cacao
127.4,34.6,119.9,26.59,76.8,6.63,195.53,4.93,Banana
133.1,51.3,29.0,30.32,67.78,5.87,69.18,1.63,Corn
47.7,51.7,127.1,28.72,76.62,6.95,205.96,2.39,Durian
106.8,42.4,159.9,29.54,76.92,6.12,162.79,3.0,Banana
60.7,65.5,42.8,31.22,68.17,5.74,149.85,2.76,Eggplant
105.2,50.2,44.2,26.02,65.45,6.71,62.07,2.4,Corn
64.1,32.8,86.2,31.3,82.36,6.11,335.48,3.09,Durian
